customer_id,days_since_last_order,total_orders,total_money,rfm_segment
14646,1,74,280206.02,555
18102,0,60,259657.30,555
17450,7,46,194550.79,555
16446,0,2,168472.50,535
14911,0,201,143825.06,555
12415,23,21,124914.53,455
14156,9,55,117379.63,555
17511,2,31,91062.38,555
16029,38,63,81024.84,355
12346,325,1,77183.60,115
16684,3,28,66653.56,555
14096,3,17,65164.79,555
13694,3,50,65039.62,555
15311,0,91,60767.90,555
13089,2,97,58825.83,555
17949,0,45,58510.48,555
15769,6,26,56252.72,555
15061,3,48,54534.14,555
14298,7,44,51527.30,555
14088,9,13,50491.81,555
15749,234,3,44534.30,145
12931,21,15,42055.96,455
17841,1,124,40991.57,555
15098,181,3,39916.50,145
13798,0,57,37153.85,555
16013,3,47,37130.60,555
16422,16,51,34684.40,455
12748,0,210,33719.73,555
15838,10,19,33643.08,555
17404,3,15,31906.82,555
17389,0,34,31833.68,555
13098,0,28,28882.44,555
14680,24,16,28754.11,455
13081,11,11,28337.38,555
13408,1,62,28117.04,555
17857,3,23,26879.04,555
16333,7,22,26626.80,555
13777,0,33,25977.16,555
12753,22,6,21429.39,455
12744,51,7,21279.29,355
16210,1,18,21086.30,555
17675,0,31,20374.28,555
17381,8,29,20275.61,555
15039,9,47,19914.44,555
12471,1,30,19824.05,555
12731,23,12,18895.91,455
15159,1,30,18641.01,555
12901,8,28,17654.54,555
12678,41,12,17628.46,355
14031,6,19,17286.86,555
17428,0,28,17256.85,555
13767,1,37,17220.36,555
13881,3,20,17159.52,555
16839,8,34,16594.35,555
12921,8,37,16587.09,555
14607,15,14,16569.50,455
15856,3,27,16387.57,555
17677,1,30,16363.23,555
15189,0,41,16225.39,555
14051,0,23,15610.39,555
15513,32,19,14758.22,355
16133,3,33,14589.04,555
14866,10,12,14389.90,555
16705,0,20,14034.99,555
12681,14,22,13787.54,455
12621,1,20,13689.67,555
12540,19,17,13400.24,455
12433,0,7,13375.87,555
15498,2,27,13316.40,555
12477,22,6,13219.74,455
17735,1,19,13110.02,555
16525,1,26,13027.45,555
14258,8,9,12669.98,555
13078,2,26,12627.94,555
12536,42,3,12601.83,335
15640,3,15,12515.66,555
16000,2,3,12393.70,535
17340,29,11,12353.29,455
12682,3,31,12288.22,555
13113,0,24,12245.96,555
14606,0,93,12156.65,555
12557,15,5,11990.96,445
12939,63,8,11581.80,355
15125,24,15,11528.48,455
14194,4,21,11349.52,555
12971,3,86,11189.91,555
14895,7,20,11138.71,555
12409,78,3,11072.67,235
15482,15,12,11054.96,455
17581,0,25,11045.04,555
13319,4,26,10845.55,555
17107,32,6,10815.43,355
13340,44,7,10736.48,355
14769,2,8,10674.75,555
17139,15,12,10668.47,455
16779,1,22,10629.72,555
17865,30,20,10526.32,455
17706,3,17,10504.49,555
15251,8,11,10484.99,555
14062,9,12,10464.85,555
15615,9,23,10399.74,555
15502,15,12,10384.93,455
16180,99,8,10254.18,255
16843,42,16,10196.57,355
12590,210,2,9864.26,135
13001,3,13,9818.82,555
13199,3,38,9817.12,555
15078,6,32,9743.11,555
12709,14,15,9736.52,455
13458,6,14,9646.57,555
14733,15,12,9585.91,455
16523,1,21,9418.47,555
12567,22,10,9401.28,455
14367,7,16,9261.52,555
14667,10,25,9241.20,555
18092,1,11,9068.26,555
13969,6,18,9053.94,555
12451,10,5,9035.52,545
13488,16,13,8968.31,455
13090,8,14,8910.82,555
16033,5,20,8816.40,555
17017,2,20,8694.26,555
17243,0,26,8676.85,555
17306,10,19,8631.31,555
16656,21,15,8625.80,455
14527,2,55,8508.82,555
12683,3,15,8476.57,555
18139,17,6,8438.34,455
15358,4,22,8347.20,555
16558,0,20,8338.49,555
14056,0,23,8214.65,555
14936,33,8,8137.02,355
16672,1,20,8134.94,555
13854,8,25,8109.52,555
14952,59,11,8099.49,355
18109,1,26,8052.97,555
14796,0,17,8022.49,555
12428,25,9,7956.46,455
15290,4,18,7943.22,555
14849,21,25,7930.54,455
12757,15,13,7857.10,455
17811,3,39,7837.73,555
13093,274,8,7832.47,155
12435,79,2,7829.89,235
13629,22,11,7792.36,455
15044,18,17,7700.23,455
15194,2,15,7616.53,555
18172,14,20,7561.68,455
13263,0,35,7454.07,555
12474,16,18,7375.79,455
12980,157,9,7374.90,255
15465,19,18,7354.62,455
17396,38,8,7330.80,355
12583,2,15,7281.38,555
13018,15,28,7277.70,455
18229,11,20,7276.90,555
16923,11,19,7247.61,555
16729,37,21,7239.92,355
16745,86,17,7194.30,255
16873,4,6,7123.62,555
13324,35,10,7121.95,355
13985,3,15,7060.13,555
14961,10,9,7044.68,555
12766,3,7,6989.63,555
12798,9,3,6977.04,535
12989,2,15,6924.11,555
16713,18,15,6923.13,455
13027,113,6,6912.00,255
16187,31,15,6911.44,455
17416,29,7,6893.42,455
12705,14,9,6868.29,455
12476,15,11,6816.42,455
12830,37,6,6814.64,355
15023,2,11,6802.76,555
18055,6,10,6784.19,555
15601,10,14,6776.56,555
16652,58,7,6773.97,355
16532,17,3,6748.80,435
13576,9,18,6717.34,555
16746,4,18,6697.66,555
15249,31,13,6688.46,455
16353,3,23,6675.71,555
17338,16,8,6643.93,455
12626,22,9,6620.48,455
16182,71,4,6617.65,345
15144,7,17,6580.44,555
12472,31,7,6572.11,455
16814,13,21,6509.10,455
12431,35,15,6487.45,355
18223,4,14,6484.54,555
15694,0,14,6479.40,555
13225,2,7,6463.84,555
13102,0,24,6424.09,555
13871,22,13,6403.25,455
12359,57,4,6372.58,345
13668,2,21,6363.59,555
13709,3,13,6328.05,555
15005,15,28,6316.57,455
17315,1,38,6292.26,555
16126,28,4,6287.77,445
14057,23,17,6217.96,455
12357,32,1,6207.67,315
14060,4,19,6140.42,555
13418,11,18,6127.43,555
17509,57,8,6115.14,355
15939,89,15,6115.01,255
14735,3,32,6065.69,555
12637,66,8,6021.90,355
13097,32,10,6010.42,355
13316,36,4,5977.73,345
14101,73,6,5976.79,255
15382,14,6,5955.71,455
14505,16,8,5905.64,455
14415,0,13,5900.28,555
14944,29,12,5900.25,455
13209,29,8,5891.61,455
13534,1,25,5870.08,555
13050,14,17,5836.86,455
12720,2,25,5781.73,555
15218,10,11,5756.89,555
17686,6,7,5739.46,555
13178,25,11,5725.47,455
16553,162,12,5719.82,255
13468,1,37,5704.97,555
14110,3,12,5683.15,555
14049,16,4,5681.72,445
17049,2,9,5659.98,555
17716,22,11,5655.99,455
13004,11,18,5655.91,555
18118,10,26,5653.82,555
14688,7,21,5630.87,555
17757,0,30,5605.29,555
12481,22,10,5596.32,455
12839,2,14,5591.42,555
16767,30,11,5580.60,455
